# theta,phi
0.000000000000000000e+00,3.141592653589793116e+00
3.883222077450932730e+00,2.976928296738220681e+00
1.483258847722279006e+00,2.965530550898789919e+00
5.366480925173212846e+00,2.954820337524513008e+00
2.966517695444558012e+00,2.944685425481378349e+00
5.665544657159052866e-01,2.935041102534240665e+00
4.449776543166838572e+00,2.925821565894393572e+00
2.049813313438182849e+00,2.916974494111987504e+00
5.933035390889116023e+00,2.908457471646575421e+00
3.533072161160463409e+00,2.900235547327773666e+00
1.133108931431810573e+00,2.892279515933376288e+00
5.016331008882743525e+00,2.884564677184582315e+00
2.616367779154090911e+00,2.877069919416685106e+00
2.164045494254324686e-01,2.869777029779761790e+00
4.099626626876365698e+00,2.862670166069756661e+00
1.699663397147712862e+00,2.855735446182035453e+00
5.582885474598646702e+00,2.848960624675604514e+00
3.182922244869993200e+00,2.842334834870758442e+00
7.829590151413404753e-01,2.835848380948270187e+00
4.666181092592274204e+00,2.829492568689677690e+00
2.266217862863621146e+00,2.823259566428041101e+00
6.149439940314554320e+00,2.817142289869700722e+00
3.749476710585901262e+00,2.811134305962107671e+00
1.349513480857248426e+00,2.805229752094620999e+00
5.232735558308181822e+00,2.799423267745456023e+00
2.832772328579528764e+00,2.793709936309074937e+00
4.328090988508649373e-01,2.788085235310179488e+00
4.316031176301809325e+00,2.782544993572435565e+00
1.916067946573145386e+00,2.777085354190294453e+00
5.799290024024090329e+00,2.771702742371051631e+00
3.399326794295425724e+00,2.766393837386508459e+00
9.993635645667841017e-01,2.761155548010089777e+00
4.882585642017706284e+00,2.755984990924313927e+00
2.482622412289064773e+00,2.750879471671112686e+00
8.265918256040052925e-02,2.745836467788359769e+00
3.965881260011344889e+00,2.740853613833607039e+00
1.565918030282680951e+00,2.735928688043193890e+00
5.449140107733625449e+00,2.731059600413654920e+00
3.049176878004961289e+00,2.726244382024407997e+00
6.492136482763196659e-01,2.721481175447315604e+00
4.532435725727242293e+00,2.716768226110904738e+00
2.132472495998600337e+00,2.712103874505631396e+00
6.015694573449522409e+00,2.707486549132209319e+00
3.615731343720880453e+00,2.702914760108239722e+00
1.215768113992216515e+00,2.698387093359565281e+00
5.098990191443161457e+00,2.693902205332303179e+00
2.699026961714496853e+00,2.689458818169633059e+00
2.990637319858552856e-01,2.685055715304388357e+00
4.182285809436777413e+00,2.680691737424460097e+00
1.782322579708113475e+00,2.676365778773198034e+00
5.665544657159057529e+00,2.672076783751434537e+00
3.265581427430393813e+00,2.667823743791611246e+00
8.656181977017298745e-01,2.663605694477850783e+00
4.748840275152696577e+00,2.659421712888741851e+00
2.348877045424032417e+00,2.655270915142131649e+00
6.232099122874954489e+00,2.651152454123486546e+00
3.832135893146290773e+00,2.647065517381320454e+00
1.432172663417671465e+00,2.643009325174909385e+00
5.315394740868593537e+00,2.638983128661058331e+00
2.915431511139929377e+00,2.634986208207989566e+00
5.154682814112654388e-01,2.631017871825639620e+00
4.398690358862232586e+00,2.627077453702691301e+00
1.998727129133568203e+00,2.623164312841606005e+00
5.881949206584490497e+00,2.619277831783744848e+00
3.481985976855826337e+00,2.615417415417430558e+00
1.082022747127207030e+00,2.611582489862442458e+00
4.965244824578129546e+00,2.607772501425042133e+00
2.565281594849464941e+00,2.603986915618156317e+00
1.653183651208010585e-01,2.600225216241823567e+00
4.048540442571767706e+00,2.596486904519430539e+00
1.648577212843103768e+00,2.592771498285664666e+00
5.531799290294025617e+00,2.589078531222446244e+00
3.131836060565361901e+00,2.585407552139417753e+00
7.318728308366979629e-01,2.581758124295862711e+00
4.615094908287664666e+00,2.578129824761174138e+00
2.215131678559000505e+00,2.574522243811221411e+00
6.098353756009922577e+00,2.570934984358197006e+00
3.698390526281258861e+00,2.567367661411689816e+00
1.298427296552639332e+00,2.563819901568928916e+00
5.181649374003561626e+00,2.560291342532283299e+00
2.781686144274897465e+00,2.556781632652268321e+00
3.817229145462335271e-01,2.553290430494422836e+00
4.264944991997200674e+00,2.549817404428550205e+00
1.864981762268536292e+00,2.546362232238938095e+00
5.748203839719458585e+00,2.542924600754250530e+00
3.348240609990794425e+00,2.539504205495900724e+00
9.482773802621750070e-01,2.536100750343784238e+00
4.831499457713097634e+00,2.532713947218346640e+00
2.431536227984433030e+00,2.529343515778003759e+00
3.157299825576910524e-02,2.525989183131036153e+00
3.914795075706735794e+00,2.522650683561110441e+00
1.514831845978071856e+00,2.519327758265650363e+00
5.398053923428993706e+00,2.516020155106330591e+00
2.998090693700329989e+00,2.512727628371016486e+00
5.981274639717105712e-01,2.509449938546508108e+00
4.481349541422632754e+00,2.506186852101505380e+00
2.081386311693968594e+00,2.502938141279226425e+00
5.964608389144890666e+00,2.499703583899171022e+00
3.564645159416226949e+00,2.496482963167532709e+00
1.164681929687607420e+00,2.493276067495809212e+00
5.047904007138529714e+00,2.490082690327176440e+00
2.647940777409865554e+00,2.486902629970228595e+00
2.479775476812015600e-01,2.483735689439705130e+00
4.131199625132168762e+00,2.480581676303847516e+00
1.731236395403459749e+00,2.477440402538050979e+00
5.614458472854426674e+00,2.474311684384502108e+00
3.214495243125806923e+00,2.471195342217501256e+00
8.145320133970984644e-01,2.468091200414189057e+00
4.697754090848064834e+00,2.464999087230423935e+00
2.297790861119445971e+00,2.461918834681549484e+00
6.181012938570323634e+00,2.458850278427827885e+00
3.781049708841703882e+00,2.455793257664315110e+00
1.381086479112995313e+00,2.452747615014968297e+00
5.264308556563961794e+00,2.449713196430788109e+00
2.864345326835342931e+00,2.446689851091813583e+00
4.643820971066340286e-01,2.443677431312789139e+00
4.347604174557600842e+00,2.440675792452335457e+00
1.947640944828981535e+00,2.437684792825474123e+00
5.830863022279858754e+00,2.434704293619347926e+00
3.430899792551239447e+00,2.431734158811997837e+00
1.030936562822530878e+00,2.428774255094065193e+00
4.914158640273497802e+00,2.425824451793288539e+00
2.514195410544878495e+00,2.422884620801673883e+00
1.142321808161696345e-01,2.419954636505224688e+00
3.997454258267136407e+00,2.417034375716124561e+00
1.597491028538427837e+00,2.414123717607263853e+00
5.480713105989394762e+00,2.411222543649016448e+00
3.080749876260775011e+00,2.408330737548170397e+00
6.807866465320664418e-01,2.405448185188926669e+00
4.564008723983032922e+00,2.402574774575875427e+00
2.164045494254414059e+00,2.399710395778876126e+00
6.047267571705291722e+00,2.396854940879757478e+00
3.647304341976671971e+00,2.394008303920772462e+00
1.247341112247963402e+00,2.391170380854729327e+00
5.130563189698929882e+00,2.388341069496740410e+00
2.730599959970310575e+00,2.385520269477519495e+00
3.306367302416021170e-01,2.382707882198170868e+00
4.213858807692568931e+00,2.379903810786410112e+00
1.813895577963949624e+00,2.377107960054163360e+00
5.697117655414826842e+00,2.374320236456490374e+00
3.297154425686207535e+00,2.371540548051785269e+00
8.971911959574989659e-01,2.368768804463198041e+00
4.780413273408465891e+00,2.366004916841244476e+00
2.380450043679846583e+00,2.363248797827546710e+00
6.263672121130723802e+00,2.360500361519672463e+00
3.863708891402104495e+00,2.357759523437028992e+00
1.463745661673395926e+00,2.355026200487770449e+00
5.346967739124362851e+00,2.352300310936688899e+00
2.947004509395743099e+00,2.349581774374047693e+00
5.470412796670345301e-01,2.346870511685325678e+00
4.430263357118001011e+00,2.344166445021840683e+00
2.030300127389382148e+00,2.341469497772218578e+00
5.913522204840259811e+00,2.338779594534683870e+00
3.513558975111640059e+00,2.336096661090135473e+00
1.113595745382931490e+00,2.333420624375987185e+00
4.996817822833897971e+00,2.330751412460742245e+00
2.596854593105278664e+00,2.328088954519280662e+00
1.968913633765701499e-01,2.325433180808831768e+00
4.080113440827537019e+00,2.322784022645609348e+00
1.680150211098917490e+00,2.320141412382090707e+00
5.563372288549794931e+00,2.317505283384912129e+00
3.163409058821175623e+00,2.314875570013366080e+00
7.634458290924670543e-01,2.312252207598477494e+00
4.646667906543433979e+00,2.309635132422638737e+00
2.246704676814814228e+00,2.307024281699789459e+00
6.129926754265691891e+00,2.304419593556120915e+00
3.729963524537072583e+00,2.301821007011284337e+00
1.330000294808363792e+00,2.299228461960097114e+00
5.213222372259330939e+00,2.296641899154720168e+00
2.813259142530711188e+00,2.294061260187297613e+00
4.132959128020026185e-01,2.291486487473043177e+00
4.296517990252969099e+00,2.288917524233759604e+00
1.896554760524350014e+00,2.286354314481775951e+00
5.779776837975227899e+00,2.283796803004292997e+00
3.379813608246608148e+00,2.281244935348116787e+00
9.798503785178994674e-01,2.278698657804783423e+00
4.863072455968866059e+00,2.276157917396043118e+00
2.463109226240246752e+00,2.273622661859711069e+00
6.314599651153821047e-02,2.271092839635862504e+00
3.946368073962505107e+00,2.268568399853366557e+00
1.546404844233885578e+00,2.266049292316746566e+00
5.429626921684763019e+00,2.263535467493359654e+00
3.029663691956143712e+00,2.261026876500884075e+00
6.297004622274350316e-01,2.258523471095104984e+00
4.512922539678402067e+00,2.256025203657994638e+00
2.112959309949782316e+00,2.253532027186071041e+00
5.996181387400659979e+00,2.251043895279031037e+00
3.596218157672040672e+00,2.248560762128652080e+00
1.196254927943421142e+00,2.246082582507952452e+00
5.079477005394299027e+00,2.243609311760600189e+00
2.679513775665679276e+00,2.241140905790568905e+00
2.795505459369706514e-01,2.238677321052030322e+00
4.162772623387937188e+00,2.236218514539478175e+00
1.762809393659318102e+00,2.233764443778074593e+00
5.646031471110195987e+00,2.231315066814216763e+00
3.246068241381576236e+00,2.228870342206314525e+00
8.461050116528675558e-01,2.226430229015776252e+00
4.729327089103834147e+00,2.223994686798191900e+00
2.329363859375214840e+00,2.221563675594715015e+00
6.212585936826092947e+00,2.219137155923632587e+00
3.812622707097473196e+00,2.216715088772120978e+00
1.412659477368853667e+00,2.214297435588180818e+00
5.295881554819731107e+00,2.211884158272748646e+00
2.895918325091111800e+00,2.209475219171975535e+00
4.959550953624031200e-01,2.207070581069678905e+00
4.379177172813370156e+00,2.204670207179945773e+00
1.979213943084750627e+00,2.202274061139904759e+00
5.862436020535628067e+00,2.199882107002641973e+00
3.462472790806919498e+00,2.197494309230271448e+00
1.062509561078389231e+00,2.195110632687151675e+00
4.945731638529267116e+00,2.192731042633240257e+00
2.545768408800558102e+00,2.190355504717588886e+00
1.458051790720280294e-01,2.187983984971975104e+00
4.029027256522905276e+00,2.185616449804661077e+00
1.629064026794196929e+00,2.183252865994283365e+00
5.512286104245252893e+00,2.180893200683867938e+00
3.112322874516544324e+00,2.178537421374964200e+00
7.123596447878356441e-01,2.176185495921900248e+00
4.595581722238891942e+00,2.173837392526152268e+00
2.195618492510182929e+00,2.171493079730827613e+00
6.078840569961060147e+00,2.169152526415258020e+00
3.678877340232352022e+00,2.166815701789700732e+00
1.278914110503821755e+00,2.164482575390142660e+00
5.162136187954699196e+00,2.162153117073209341e+00
2.762172958225990627e+00,2.159827297011170710e+00
3.622097284974604703e-01,2.157505085687048130e+00
4.245431805948338244e+00,2.155186453889812892e+00
1.845468576219629231e+00,2.152871372709681541e+00
5.728690653670685862e+00,2.150559813533495568e+00
3.328727423941976848e+00,2.148251748040197917e+00
9.287641942132680573e-01,2.145947148196389431e+00
4.811986271664324022e+00,2.143645986251971447e+00
2.412023041935615453e+00,2.141348234735872769e+00
1.205981220690679513e-02,2.139053866451855690e+00
3.895281889657963070e+00,2.136762854474400619e+00
1.495318659929254279e+00,2.134475172144667088e+00
5.378540737380132164e+00,2.132190793066532475e+00
2.978577507651423151e+00,2.129909691102699565e+00
5.786142779228929944e-01,2.127631840370882266e+00
4.461836355373770324e+00,2.125357215240054387e+00
2.061873125645061755e+00,2.123085790326773470e+00
5.945095203096117942e+00,2.120817540491565900e+00
3.545131973367409373e+00,2.118552440835382633e+00
1.145168743638700581e+00,2.116290466696114425e+00
5.028390821089756990e+00,2.114031593645174123e+00
2.628427591361047977e+00,2.111775797484136241e+00
2.284643616323392690e-01,2.109523054241439599e+00
4.111686439083395150e+00,2.107273340169145470e+00
1.711723209354686581e+00,2.105026631739757015e+00
5.594945286805564244e+00,2.102782905643090672e+00
3.194982057076855675e+00,2.100542138783204837e+00
7.950188273483254076e-01,2.098304308275382279e+00
4.678240904799203292e+00,2.096069391443163621e+00
2.278277675070494279e+00,2.093837365815434115e+00
6.161499752521550022e+00,2.091608209123559270e+00
3.761536522792841897e+00,2.089381899298569323e+00
1.361573293064132884e+00,2.087158414468393897e+00
5.244795370515189070e+00,2.084937732955142842e+00
2.844832140786480501e+00,2.082719833272431487e+00
4.448689110577717098e-01,2.080504694122754294e+00
4.328090988508828119e+00,2.078292294394901596e+00
1.928127758780119105e+00,2.076082613161418067e+00
5.811349836230996324e+00,2.073875629676105170e+00
3.411386606502288199e+00,2.071671323371565343e+00
1.011423376773757932e+00,2.069469673856787040e+00
4.894645454224635372e+00,2.067270660914768410e+00
2.494682224495926803e+00,2.065074264500180501e+00
9.471899476739660539e-02,2.062880464737070874e+00
3.977941072218273977e+00,2.060689241916600078e+00
1.577977842489565408e+00,2.058500576494820766e+00
5.461199919940621150e+00,2.056314449090487884e+00
3.061236690211913025e+00,2.054130840482906173e+00
6.612734604832042340e-01,2.051949731609813643e+00
4.544495537934260199e+00,2.049771103565295238e+00
2.144532308205551629e+00,2.047594937597734255e+00
6.027754385656429292e+00,2.045421215107792623e+00
3.627791155927899247e+00,2.043249917646424052e+00
1.227827926199190234e+00,2.041081026912921370e+00
5.111050003650067453e+00,2.038914524752988733e+00
2.711086773921359327e+00,2.036750393156850691e+00
3.111235441928290602e-01,2.034588614257385686e+00
4.194345621643706501e+00,2.032429170328289292e+00
1.794382391914997932e+00,2.030272043782268554e+00
5.677604469366054118e+00,2.028117217169262521e+00
3.277641239637345549e+00,2.025964673174687203e+00
8.776780099086366471e-01,2.023814394617713397e+00
4.760900087359693167e+00,2.021666364449565378e+00
2.360936857630984154e+00,2.019520565751846686e+00
6.244158935081861372e+00,2.017376981734894770e+00
3.844195705353331327e+00,2.015235595736153851e+00
1.444232475624622758e+00,2.013096391218579306e+00
5.327454553075500421e+00,2.010959351769058934e+00
2.927491323346791852e+00,2.008824461096863967e+00
5.275280936182615843e-01,2.006691703032119189e+00
4.410750171069139469e+00,2.004561061524295695e+00
2.010786941340430456e+00,2.002432520640728075e+00
5.894009018791486199e+00,2.000306064565151587e+00
3.494045789062777629e+00,1.998181677596260419e+00
1.094082559334069060e+00,1.996059344146289050e+00
4.977304636785125247e+00,1.993939048739611364e+00
2.577341407056416678e+00,1.991820776011361094e+00
1.773781773277078311e-01,1.989704510706073348e+00
4.060600254778764295e+00,1.987590237676344129e+00
1.660637025050055282e+00,1.985477941881508057e+00
5.543859102500932501e+00,1.983367608386338743e+00
3.143895872772402900e+00,1.981259222359762040e+00
7.439326430436939974e-01,1.979152769073592388e+00
4.627154720494571549e+00,1.977048233901283814e+00
2.227191490765862980e+00,1.974945602316699800e+00
6.110413568216919167e+00,1.972844859892899594e+00
3.710450338488210154e+00,1.970745992300942495e+00
1.310487108759501584e+00,1.968648985308706800e+00
5.193709186210557327e+00,1.966553824779726511e+00
2.793745956481849202e+00,1.964460496672043366e+00
3.937827267531402997e-01,1.962368987037075518e+00
4.277004804204196375e+00,1.960279282018499325e+00
1.877041574475487806e+00,1.958191367851149778e+00
5.760263651926365469e+00,1.956105230859931599e+00
3.360300422197834980e+00,1.954020857458748761e+00
9.603371924691264105e-01,1.951938234149446671e+00
4.843559269920003629e+00,1.949857347520767448e+00
2.443596040191295504e+00,1.947778184247321631e+00
4.363281046276518832e-02,1.945700731088571001e+00
3.926854887913642678e+00,1.943624974887826484e+00
1.526891658184934109e+00,1.941550902571258730e+00
5.410113735635990295e+00,1.939478501146920442e+00
3.010150505907281282e+00,1.937407757703784483e+00
6.101872761785727128e-01,1.935338659410791085e+00
4.493409353629628455e+00,1.933271193515908370e+00
2.093446123900920330e+00,1.931205347345207768e+00
5.976668201351797549e+00,1.929141108301946073e+00
3.576704971623267504e+00,1.927078463865663949e+00
1.176741741894558935e+00,1.925017401591294197e+00
5.059963819345436598e+00,1.922957909108279573e+00
2.660000589616727584e+00,1.920899974119704590e+00
2.600373598881976500e-01,1.918843584401437541e+00
4.143259437339074758e+00,1.916788727801280512e+00
1.743296207610366411e+00,1.914735392238134715e+00
5.626518285061422375e+00,1.912683565701171817e+00
3.226555055332713806e+00,1.910633236249018596e+00
8.265918256040052370e-01,1.908584392008949138e+00
4.709813903055061424e+00,1.906537021176089253e+00
2.309850673326352855e+00,1.904491112012629106e+00
6.193072750777230517e+00,1.902446652847045838e+00
3.793109521048700028e+00,1.900403632073335514e+00
1.393146291319991459e+00,1.898362038150254838e+00
5.276368368770868678e+00,1.896321859600570647e+00
2.876405139042338632e+00,1.894283085010320500e+00
4.764419093136301186e-01,1.892245703028079928e+00
4.359663986764507726e+00,1.890209702364239241e+00
1.959700757035798935e+00,1.888175071790289428e+00
5.842922834486855344e+00,1.886141800138116054e+00
3.442959604758146330e+00,1.884109876299300268e+00
1.042996375029437761e+00,1.882079289224429797e+00
4.926218452480493504e+00,1.880050027922417044e+00
2.526255222751784935e+00,1.878022081459824522e+00
1.262919930230764209e-01,1.875995438960198936e+00
4.009514070474132552e+00,1.873970089603413047e+00
1.609550840745423761e+00,1.871946022625013528e+00
5.492772918196301646e+00,1.869923227315577696e+00
3.092809688467771156e+00,1.867901693020077580e+00
6.928464587390625873e-01,1.865881409137249092e+00
4.576068536189939806e+00,1.863862365118970965e+00
2.176105306461231237e+00,1.861844550469649029e+00
6.059327383912287424e+00,1.859827954745607137e+00
3.659364154183578854e+00,1.857812567554485872e+00
1.259400924454870063e+00,1.855798378554647021e+00
5.142623001905926472e+00,1.853785377454584049e+00
2.742659772177217459e+00,1.851773554012341005e+00
3.426965424485088896e-01,1.849762898034935654e+00
4.225918619899564632e+00,1.847753399377788819e+00
1.825955390170856285e+00,1.845745047944161721e+00
5.709177467621733726e+00,1.843737833684598204e+00
3.309214237893203681e+00,1.841731746596371178e+00
9.092510081644950004e-01,1.839726776722938162e+00
4.792473085615372774e+00,1.837722914153400167e+00
2.392509855886842285e+00,1.835720149021967007e+00
6.275731933337720392e+00,1.833718471507427727e+00
3.875768703609011379e+00,1.831717871832627464e+00
1.475805473880302587e+00,1.829718340263948972e+00
5.359027551331358552e+00,1.827719867110798369e+00
2.959064321602649983e+00,1.825722442725099093e+00
5.591010918739413027e-01,1.823726057500787423e+00
4.442323169324997600e+00,1.821730701873315761e+00
2.042359939596288587e+00,1.819736366319159693e+00
5.925582017047166694e+00,1.817743041355329492e+00
3.525618787318636205e+00,1.815750717538888059e+00
1.125655557589927414e+00,1.813759385466471974e+00
5.008877635040804854e+00,1.811769035773817649e+00
2.608914405312274809e+00,1.809779659135293040e+00
2.089511755835662399e-01,1.807791246263432017e+00
4.092173253034443903e+00,1.805803787908475622e+00
1.692210023305735112e+00,1.803817274857915542e+00
5.575432100756791520e+00,1.801831697936042032e+00
3.175468871028082507e+00,1.799847048003498706e+00
7.755056412993738268e-01,1.797863315956837571e+00
4.658727718750429680e+00,1.795880492728081812e+00
2.258764489021721111e+00,1.793898569284289923e+00
6.141986566472598774e+00,1.791917536627125163e+00
3.742023336744068729e+00,1.789937385792428781e+00
1.342060107015359938e+00,1.787958107849797695e+00
5.225282184466237823e+00,1.785979693902163712e+00
2.825318954737707333e+00,1.784002135085379637e+00
4.253557250089987085e-01,1.782025422567806716e+00
4.308577802459875983e+00,1.780049547549906519e+00
1.908614572731167636e+00,1.778074501263836593e+00
5.791836650182223600e+00,1.776100274973049675e+00
3.391873420453515031e+00,1.774126859971895787e+00
9.919101907248062400e-01,1.772154247585227438e+00
4.875132268175862649e+00,1.770182429168010163e+00
2.475169038447153635e+00,1.768211396104934385e+00
7.520580871844501081e-02,1.766241139810030170e+00
3.958427886169501253e+00,1.764271651726288415e+00
1.558464656440792462e+00,1.762302923325280268e+00
5.441686733891669903e+00,1.760334946106784093e+00
3.041723504163139857e+00,1.758367711598413763e+00
6.417602744342525423e-01,1.756401211355248515e+00
4.524982351885308951e+00,1.754435436959467909e+00
2.125019122156778462e+00,1.752470380019989671e+00
6.008241199607477157e+00,1.750506032172107984e+00
3.608277969878947555e+00,1.748542385077137551e+00
1.208314740150417288e+00,1.746579430422058321e+00
5.091536817601116205e+00,1.744617159919164218e+00
2.691573587872586160e+00,1.742655565305713639e+00
2.916103581440560588e-01,1.740694638343582845e+00
4.174832435594755253e+00,1.738734370818922903e+00
1.774869205866224986e+00,1.736774754541817511e+00
5.658091283317281395e+00,1.734815781345944163e+00
3.258128053588393858e+00,1.732857443088238192e+00
8.581648238598635903e-01,1.730899731648558593e+00
4.741386901310919555e+00,1.728942638929356068e+00
2.341423671582032462e+00,1.726986156855344845e+00
6.224645749033088649e+00,1.725030277373174270e+00
3.824682519304558603e+00,1.723074992451105070e+00
1.424719289575671288e+00,1.721120294078686497e+00
5.307941367026727697e+00,1.719166174266436586e+00
2.907978137298197208e+00,1.717212625045522856e+00
5.080149075693098926e-01,1.715259638467447667e+00
4.391236985020365857e+00,1.713307206603732924e+00
1.991273755291836034e+00,1.711355321545609209e+00
5.874495832742534951e+00,1.709403975403705145e+00
3.474532603014004906e+00,1.707453160307739637e+00
1.074569373285117591e+00,1.705502868406215677e+00
4.957791450736173999e+00,1.703553091866116809e+00
2.557828221007643510e+00,1.701603822872603811e+00
1.578649912787562504e-01,1.699655053628714496e+00
4.041087068729812160e+00,1.697706776355066172e+00
1.641123839001282336e+00,1.695758983289556987e+00
5.524345916451981253e+00,1.693811666687071282e+00
3.124382686723451208e+00,1.691864818819187155e+00
7.244194569949209406e-01,1.689918431973882917e+00
4.607641534445620302e+00,1.687972498455247994e+00
2.207678304717089812e+00,1.686027010583193153e+00
6.090900382168145555e+00,1.684081960693165625e+00
3.690937152439258462e+00,1.682137341135860664e+00
1.290973922710728639e+00,1.680193144276939110e+00
5.174196000161784603e+00,1.678249362496745611e+00
2.774232770432897510e+00,1.676305988190025076e+00
3.742695407043672984e-01,1.674363013765645114e+00
4.257491618155423652e+00,1.672420431646316707e+00
1.857528388426536115e+00,1.670478234268317319e+00
5.740750465877591857e+00,1.668536414081215113e+00
3.340787236149062256e+00,1.666594963547594732e+00
9.408240064201748298e-01,1.664653875142784401e+00
4.824046083871230906e+00,1.662713141354583257e+00
2.424082854142700860e+00,1.660772754682991348e+00
2.411962441381359026e-02,1.658832707639940285e+00
3.907341701864869510e+00,1.656892992749023907e+00
1.507378472136339687e+00,1.654953602545232272e+00
5.390600549587038159e+00,1.653014529574684310e+00
2.990637319858508558e+00,1.651075766394363598e+00
5.906740901296211321e-01,1.649137305571854561e+00
4.473896167580677208e+00,1.647199139685078251e+00
2.073932937852147163e+00,1.645261261322031654e+00
5.957155015302846301e+00,1.643323663080525687e+00
3.557191785574315812e+00,1.641386337567925846e+00
1.157228555845785989e+00,1.639449277400892191e+00
5.040450633296484462e+00,1.637512475205121776e+00
2.640487403567954861e+00,1.635575923615091076e+00
2.405241738394246209e-01,1.633639615273798418e+00
4.123746251290123510e+00,1.631703542832509513e+00
1.723783021561593465e+00,1.629767698950502108e+00
5.607005099012649652e+00,1.627832076294810637e+00
3.207041869283762114e+00,1.625896667539973972e+00
8.070786395552321801e-01,1.623961465367782298e+00
4.690300717006288700e+00,1.622026462467024421e+00
2.290337487277401163e+00,1.620091651533236865e+00
6.173559564728456905e+00,1.618157025268453175e+00
3.773596334999926860e+00,1.616222576380952791e+00
1.373633105271039767e+00,1.614288297585012355e+00
5.256855182722095954e+00,1.612354181600656355e+00
2.856891952993565909e+00,1.610420221153408216e+00
4.569287232646785379e-01,1.608486408974042492e+00
4.340150800715735002e+00,1.606552737798338404e+00
1.940187570987204513e+00,1.604619200366830478e+00
5.823409648437903208e+00,1.602685789424564522e+00
3.423446418709373162e+00,1.600752497720849377e+00
1.023483188980486069e+00,1.598819318009012447e+00
4.906705266431542256e+00,1.596886243046153453e+00
2.506742036703012211e+00,1.594953265592900404e+00
1.067788069741248264e-01,1.593020378413163796e+00
3.990000884425180860e+00,1.591087574273892580e+00
1.590037654696650815e+00,1.589154845944830363e+00
5.473259732147349510e+00,1.587222186198271157e+00
3.073296502418819465e+00,1.585289587808816014e+00
6.733332726902895304e-01,1.583357043553129229e+00
4.556555350140988558e+00,1.581424546209695636e+00
2.156592120412458513e+00,1.579492088558577256e+00
6.039814197863514700e+00,1.577559663381170596e+00
3.639850968134627163e+00,1.575627263459963068e+00
1.239887738406097117e+00,1.573694881578291849e+00
